epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,6654.71,0.79658,1.01502,0.38653,0.00086,0.3208,0.91092,0.91257,0.93966,0.75435,0.90705,0.90906,0.92978,0.63218,0.75715,1.13132,0.42328,0.00096,0,0.000416,0.000416,0.000416
82,6687.7,0.79247,1.00557,0.38477,0.00088,0.31813,0.90584,0.90491,0.93818,0.76053,0.89927,0.899,0.92499,0.64287,0.72579,1.10406,0.42147,0.00091,0,0.0003962,0.0003962,0.0003962
83,6720.18,0.78886,1.0183,0.38128,0.00084,0.31069,0.91424,0.91124,0.94111,0.76044,0.91306,0.91007,0.93257,0.63951,0.73922,1.1247,0.41738,0.00092,0,0.0003764,0.0003764,0.0003764
84,6752.35,0.80379,0.99691,0.37697,0.00085,0.31702,0.9162,0.90398,0.93852,0.74839,0.90542,0.90788,0.92804,0.62465,0.77849,1.12984,0.42864,0.00098,0,0.0003566,0.0003566,0.0003566
85,6784.96,0.79133,0.98203,0.36862,0.00083,0.30755,0.90202,0.92155,0.9387,0.76029,0.90182,0.92116,0.93089,0.64086,0.72955,1.11921,0.4177,0.00091,0,0.0003368,0.0003368,0.0003368
86,6817.17,0.78028,0.98729,0.37171,0.00084,0.30361,0.90862,0.9121,0.93732,0.76042,0.90382,0.91101,0.92524,0.6334,0.72262,1.1181,0.41308,0.00091,0,0.000317,0.000317,0.000317
87,6849.48,0.7821,0.99653,0.37556,0.00085,0.31042,0.91089,0.91764,0.93966,0.75877,0.90949,0.91386,0.92876,0.63321,0.74476,1.13753,0.40723,0.00094,0,0.0002972,0.0002972,0.0002972
88,7138.39,0.77939,1.00211,0.37429,0.00084,0.30358,0.9149,0.90645,0.94104,0.76432,0.90697,0.90568,0.92796,0.64176,0.72887,1.10574,0.40492,0.00091,0,0.0002774,0.0002774,0.0002774
89,7176.38,0.76771,0.98823,0.37022,0.00086,0.30471,0.90793,0.91452,0.93663,0.76224,0.90278,0.90976,0.92329,0.63596,0.72179,1.11751,0.40716,0.00091,0,0.0002576,0.0002576,0.0002576
90,7209.21,0.77927,0.98794,0.36657,0.00083,0.302,0.92045,0.90779,0.93934,0.75773,0.91624,0.90519,0.92986,0.62899,0.74805,1.11464,0.40841,0.00094,0,0.0002378,0.0002378,0.0002378
91,7262.97,0.75446,0.9763,0.36223,0.0009,0.30078,0.91485,0.91023,0.93948,0.7623,0.90779,0.90867,0.92702,0.64323,0.7327,1.11808,0.4042,0.00092,0,0.000218,0.000218,0.000218
92,7291.92,0.75493,0.96996,0.36009,0.0009,0.29975,0.90668,0.91016,0.94239,0.76314,0.90357,0.90703,0.93217,0.63558,0.74404,1.1319,0.41186,0.00093,0,0.0001982,0.0001982,0.0001982
93,7320.91,0.75161,0.96142,0.35929,0.00089,0.30414,0.90737,0.91257,0.94034,0.76172,0.9039,0.91179,0.93003,0.63717,0.74206,1.12359,0.40285,0.00093,0,0.0001784,0.0001784,0.0001784
94,7349.71,0.75193,0.97166,0.36027,0.00088,0.29832,0.9093,0.91491,0.94075,0.76102,0.90077,0.91725,0.93184,0.62853,0.75049,1.12274,0.40653,0.00094,0,0.0001586,0.0001586,0.0001586
95,7378.89,0.75542,0.97267,0.35294,0.00087,0.28859,0.90804,0.91764,0.94157,0.76484,0.90436,0.91413,0.93037,0.64933,0.73422,1.13627,0.40977,0.00092,0,0.0001388,0.0001388,0.0001388
96,7408.12,0.74944,0.95934,0.35689,0.00089,0.29498,0.90133,0.91629,0.94129,0.76088,0.89932,0.91349,0.93057,0.62786,0.74871,1.12349,0.41333,0.00094,0,0.000119,0.000119,0.000119
97,7437.79,0.74731,0.96459,0.35704,0.00089,0.2889,0.90198,0.91803,0.94013,0.76396,0.89843,0.91452,0.92864,0.64291,0.72859,1.1261,0.4095,0.00091,0,9.92e-05,9.92e-05,9.92e-05
98,7466.74,0.74095,0.96355,0.34906,0.00087,0.28967,0.90786,0.91374,0.9403,0.76309,0.90418,0.90976,0.93357,0.6364,0.73519,1.12583,0.40736,0.00092,0,7.94e-05,7.94e-05,7.94e-05
99,7495.77,0.7388,0.96447,0.35083,0.00087,0.28878,0.90572,0.91867,0.94102,0.76389,0.90398,0.91413,0.92952,0.63527,0.7362,1.13619,0.40762,0.00092,0,5.96e-05,5.96e-05,5.96e-05
100,7524.92,0.74263,0.96074,0.34884,0.00086,0.29108,0.90466,0.91764,0.93967,0.76395,0.90177,0.91375,0.9287,0.6359,0.73264,1.13894,0.40722,0.00091,0,3.98e-05,3.98e-05,3.98e-05
